year,impact_area,Fdescript,Fund_DAmt
2008,Poverty Alleviation,Field of Interst,1e3
2008,Poverty Alleviation,Unrestricted,229
2008,Poverty Alleviation,Unrestricted,52
2008,Poverty Alleviation,Unrestricted,414
2008,Poverty Alleviation,Field of Interst,1850
2008,Arts,Field of Interst,3500
2008,Arts,Unrestricted,1877
2008,Arts,Field of Interst,700
2008,Arts,Unrestricted,238
2008,Arts,Field of Interst,706
2008,Arts,Unrestricted,229
2008,Arts,Field of Interst,881
2008,Arts,Field of Interst,369
2008,Poverty Alleviation,Field of Interst,1e3
2008,Poverty Alleviation,Field of Interst,2e3
2008,Environment and Climate Change,Field of Interst,3e3
2008,Education,Field of Interst,700
2008,Education,Field of Interst,2055
2008,Education,Field of Interst,1600
2008,Education,Unrestricted,276
2008,Education,Unrestricted,369
2008,Poverty Alleviation,Unrestricted,4e3
2008,Peace and Human Rights,Field of Interst,1493
2008,Peace and Human Rights,Field of Interst,816
2008,Peace and Human Rights,Field of Interst,191
2008,Poverty Alleviation,Field of Interst,5e3
2008,Arts,Unrestricted,2469
2008,Arts,Unrestricted,1110
2008,Arts,Unrestricted,881
2008,Arts,Field of Interst,372
2008,Arts,Unrestricted,152
2008,Arts,Unrestricted,16
2008,Poverty Alleviation,Field of Interst,1e3
2008,Poverty Alleviation,Field of Interst,600
2008,Poverty Alleviation,Field of Interst,400
2008,Poverty Alleviation,Field of Interst,1e3
2008,Poverty Alleviation,Field of Interst,1920
2008,Poverty Alleviation,Field of Interst,3580
2008,Poverty Alleviation,Unrestricted,2377
2008,Poverty Alleviation,Field of Interst,2623
2008,Arts,Field of Interst,5e3
2008,Education,Field of Interst,800
2008,Education,Field of Interst,1200
2008,Peace and Human Rights,Donor Advised,500
2008,Peace and Human Rights,Donor Advised,775
2008,Poverty Alleviation,Donor Advised,775
2008,Poverty Alleviation,Donor Advised,1e3
2008,Education,Donor Advised,500
2008,Education,Donor Advised,500
2008,Poverty Alleviation,Donor Advised,1500
2008,Education,Donor Advised,500
2008,Poverty Alleviation,Donor Advised,500
2008,Poverty Alleviation,Donor Advised,6750
2008,Education,Donor Advised,6750
2008,Education,Donor Advised,6750
2008,Poverty Alleviation,Donor Advised,1346.8
2008,Poverty Alleviation,Designated,55770
2008,Arts,Designated,2725
2008,Education,Designated,385
2008,Poverty Alleviation,Designated,385
2008,Education,Designated,475
2009,Environment and Climate Change,Unrestricted,1e4
2009,Education,Designated,5e3
2009,Education,Donor Advised,1600
2009,Poverty Alleviation,Designated,275
2009,Poverty Alleviation,Donor Advised,1200
2009,Education,Unrestricted,1492
2009,Education,Designated,561
2009,Education,Designated,-561
2009,Education,Unrestricted,1e3
2009,Education,Donor Advised,2e3
2009,Poverty Alleviation,Donor Advised,10010.45
2009,Poverty Alleviation,Field of Interst,4500
2009,Peace and Human Rights,Field of Interst,1850
2009,Poverty Alleviation,Unrestricted,3200
2009,Environment and Climate Change,Unrestricted,3300
2009,Environment and Climate Change,Field of Interst,700
2009,Arts,Field of Interst,3200
2009,Education,Field of Interst,2500
2009,Poverty Alleviation,Field of Interst,6500
2009,Poverty Alleviation,Unrestricted,5e3
2009,Education,Field of Interst,2150
2009,Education,Field of Interst,563
2009,Education,Unrestricted,200
2009,Education,Unrestricted,97
2009,Education,Unrestricted,15
2009,Arts,Field of Interst,900
2009,Arts,Field of Interst,633
2009,Arts,Field of Interst,1967
2009,Education,Unrestricted,1500
2009,Education,Unrestricted,1025
2009,Education,Unrestricted,475
2009,Education,Field of Interst,825
2009,Poverty Alleviation,Field of Interst,1762
2009,Poverty Alleviation,Field of Interst,486
2009,Poverty Alleviation,Field of Interst,285
2009,Poverty Alleviation,Unrestricted,254
2009,Poverty Alleviation,Unrestricted,203
2009,Poverty Alleviation,Unrestricted,10
2009,Education,Field of Interst,3300
2009,Arts,Field of Interst,3800
2009,Arts,Field of Interst,807
2009,Arts,Field of Interst,393
2009,Arts,Field of Interst,3900
2009,Arts,Unrestricted,1700
2009,Peace and Human Rights,Field of Interst,2e3
2009,Poverty Alleviation,Unrestricted,5e3
2009,Peace and Human Rights,Field of Interst,500
2009,Peace and Human Rights,Field of Interst,1132
2009,Peace and Human Rights,Field of Interst,813
2009,Peace and Human Rights,Unrestricted,300
2009,Peace and Human Rights,Field of Interst,755
2009,Poverty Alleviation,Unrestricted,1e3
2009,Poverty Alleviation,Unrestricted,1500
2009,Poverty Alleviation,Field of Interst,5e3
2009,Poverty Alleviation,Field of Interst,2200
2009,Education,Field of Interst,2e3
2009,Arts,Field of Interst,3500
2009,Arts,Field of Interst,5e3
2009,Peace and Human Rights,Field of Interst,900
2009,Environment and Climate Change,Field of Interst,2e3
2009,Arts,Unrestricted,1e3
2009,Arts,Field of Interst,50
2009,Arts,Field of Interst,1625
2009,Poverty Alleviation,Field of Interst,4607
2009,Poverty Alleviation,Unrestricted,521
2009,Poverty Alleviation,Unrestricted,70
2009,Poverty Alleviation,Unrestricted,2
2009,Poverty Alleviation,Field of Interst,1175
2009,Poverty Alleviation,Unrestricted,3225
2009,Poverty Alleviation,Unrestricted,370
2009,Poverty Alleviation,Unrestricted,130
2009,Poverty Alleviation,Unrestricted,100
2009,Peace and Human Rights,Field of Interst,2e3
2009,Poverty Alleviation,Unrestricted,3695
2009,Poverty Alleviation,Unrestricted,778
2009,Poverty Alleviation,Unrestricted,355
2009,Poverty Alleviation,Unrestricted,172
2009,Poverty Alleviation,Donor Advised,1e3
2009,Poverty Alleviation,Donor Advised,500
2009,Arts,Donor Advised,5e3
2009,Arts,Designated,552.5
2009,Education,Donor Advised,5e3
2009,Poverty Alleviation,Donor Advised,1e3
2009,Poverty Alleviation,Donor Advised,500
2009,Education,Designated,5e3
2009,Poverty Alleviation,Donor Advised,2e3
2009,Peace and Human Rights,Donor Advised,500
2009,Poverty Alleviation,Donor Advised,500
2009,Poverty Alleviation,Donor Advised,500
2009,Poverty Alleviation,Donor Advised,2500
2009,Education,Designated,561
2009,Environment and Climate Change,Donor Advised,500
2009,Poverty Alleviation,Designated,563
2009,Poverty Alleviation,Designated,42696.7
2009,Poverty Alleviation,Donor Advised,4389.63
2009,Poverty Alleviation,Donor Advised,4389.63
2009,Education,Donor Advised,4389.62
2009,Education,Donor Advised,4389.62
2009,Poverty Alleviation,Donor Advised,2719.25
2010,Education,Donor Advised,1600
2010,Education,Unrestricted,500
2010,Poverty Alleviation,Donor Advised,13650.53
2010,Poverty Alleviation,Designated,8147.79
2010,Education,Designated,1250
2010,Education,Designated,500
2010,Education,Designated,250
2010,Education,Designated,4e3
2010,Education,Designated,5e3
2010,Arts,Agency/Org.,1684
2010,Poverty Alleviation,Donor Advised,5e3
2010,Poverty Alleviation,Donor Advised,5e3
2010,Education,Designated,4e3
2010,Education,Designated,4e3
2010,Education,Designated,4e3
2010,Education,Designated,6e3
2010,Poverty Alleviation,Donor Advised,2260.58
2010,Education,Designated,1e3
2010,Poverty Alleviation,Designated,1e3
2010,Poverty Alleviation,Donor Advised,1e3
2010,Poverty Alleviation,Designated,2622.79
2010,Poverty Alleviation,Donor Advised,25e3
2010,Poverty Alleviation,Field of Interst,5e3
2010,Poverty Alleviation,Field of Interst,2500
2010,Poverty Alleviation,Unrestricted,2500
2010,Poverty Alleviation,Field of Interst,2200
2010,Peace and Human Rights,Field of Interst,650
2010,Arts,Field of Interst,691
2010,Arts,Unrestricted,1809
2010,Poverty Alleviation,Unrestricted,2500
2010,Poverty Alleviation,Unrestricted,1568
2010,Poverty Alleviation,Unrestricted,932
2010,Arts,Field of Interst,842
2010,Arts,Field of Interst,1e3
2010,Arts,Unrestricted,1563
2010,Arts,Unrestricted,1e3
2010,Arts,Unrestricted,595
2010,Arts,Field of Interst,2500
2010,Arts,Field of Interst,120
2010,Arts,Field of Interst,5e3
2010,Education,Field of Interst,3720
2010,Education,Unrestricted,1e3
2010,Education,Field of Interst,2500
2010,Environment and Climate Change,Field of Interst,3e3
2010,Arts,Field of Interst,1e3
2010,Poverty Alleviation,Field of Interst,867
2010,Poverty Alleviation,Unrestricted,349
2010,Poverty Alleviation,Unrestricted,1191
2010,Poverty Alleviation,Unrestricted,68
2010,Poverty Alleviation,Unrestricted,525
2010,Poverty Alleviation,Field of Interst,2e3
2010,Education,Field of Interst,2024
2010,Arts,Unrestricted,725
2010,Arts,Unrestricted,345
2010,Arts,Unrestricted,250
2010,Arts,Unrestricted,180
2010,Arts,Unrestricted,500
2010,Arts,Field of Interst,500
2010,Arts,Field of Interst,500
2010,Peace and Human Rights,Field of Interst,500
2010,Peace and Human Rights,Field of Interst,700
2010,Poverty Alleviation,Designated,2500
2010,Education,Field of Interst,1250
2010,Education,Field of Interst,774
2010,Education,Field of Interst,1726
2010,Education,Unrestricted,2e3
2010,Education,Field of Interst,2052
2010,Education,Unrestricted,246
2010,Education,Unrestricted,329
2010,Education,Unrestricted,373
2010,Peace and Human Rights,Field of Interst,2e3
2010,Poverty Alleviation,Unrestricted,232
2010,Poverty Alleviation,Unrestricted,968
2010,Peace and Human Rights,Field of Interst,350
2010,Peace and Human Rights,Field of Interst,650
2010,Poverty Alleviation,Field of Interst,750
2010,Poverty Alleviation,Unrestricted,389
2010,Poverty Alleviation,Field of Interst,1960
2010,Poverty Alleviation,Field of Interst,1901
2010,Education,Unrestricted,2e3
2010,Education,Field of Interst,1e3
2010,Poverty Alleviation,Field of Interst,3e3
2010,Poverty Alleviation,Unrestricted,3e3
2010,Poverty Alleviation,Field of Interst,2e3
2010,Poverty Alleviation,Field of Interst,1033
2010,Poverty Alleviation,Field of Interst,563
2010,Poverty Alleviation,Unrestricted,202
2010,Poverty Alleviation,Unrestricted,173
2010,Poverty Alleviation,Unrestricted,524
2010,Poverty Alleviation,Unrestricted,55
2010,Poverty Alleviation,Unrestricted,39
2010,Poverty Alleviation,Unrestricted,261
2010,Poverty Alleviation,Field of Interst,1e3
2010,Arts,Unrestricted,50
2010,Arts,Field of Interst,1e3
2010,Arts,Field of Interst,1e3
2010,Poverty Alleviation,Field of Interst,1800
2010,Arts,Field of Interst,190
2010,Arts,Field of Interst,1898
2010,Arts,Field of Interst,912
2010,Arts,Unrestricted,1500
2010,Environment and Climate Change,Unrestricted,1500
2010,Arts,Field of Interst,5e3
2010,Education,Unrestricted,975
2010,Education,Unrestricted,25
2010,Education,Field of Interst,2e3
2010,Peace and Human Rights,Field of Interst,3e3
2010,Environment and Climate Change,Field of Interst,708
2010,Environment and Climate Change,Unrestricted,292
2010,Education,Field of Interst,3025
2010,Education,Field of Interst,3e3
2010,Peace and Human Rights,Field of Interst,1895
2010,Peace and Human Rights,Field of Interst,105
2010,Peace and Human Rights,Field of Interst,1244
2010,Peace and Human Rights,Field of Interst,256
2010,Peace and Human Rights,Field of Interst,1e3
2010,Education,Field of Interst,1e3
2010,Poverty Alleviation,Field of Interst,3e3
2010,Arts,Field of Interst,1500
2010,Poverty Alleviation,Unrestricted,505
2010,Poverty Alleviation,Unrestricted,212
2010,Poverty Alleviation,Unrestricted,427
2010,Poverty Alleviation,Unrestricted,565
2010,Poverty Alleviation,Unrestricted,534
2010,Poverty Alleviation,Unrestricted,257
2010,Peace and Human Rights,Field of Interst,1e3
2010,Poverty Alleviation,Donor Advised,450
2010,Poverty Alleviation,Donor Advised,450
2010,Poverty Alleviation,Donor Advised,450
2010,Poverty Alleviation,Donor Advised,450
2010,Poverty Alleviation,Donor Advised,450
2010,Poverty Alleviation,Donor Advised,450
2010,Poverty Alleviation,Donor Advised,450
2010,Poverty Alleviation,Donor Advised,450
2010,Education,Donor Advised,500
2010,Poverty Alleviation,Donor Advised,5e3
2010,Education,Designated,610
2010,Poverty Alleviation,Donor Advised,3e3
2010,Poverty Alleviation,Designated,5e3
2010,Arts,Donor Advised,5e3
2010,Arts,Unrestricted,3e3
2010,Education,Donor Advised,1500
2010,Poverty Alleviation,Donor Advised,1500
2010,Poverty Alleviation,Donor Advised,515.5
2010,Education,Donor Advised,515.5
2010,Education,Donor Advised,3178.25
2010,Education,Donor Advised,3178.25
2010,Poverty Alleviation,Donor Advised,3178.25
2010,Poverty Alleviation,Donor Advised,3178.25
2010,Poverty Alleviation,Designated,3e3
2010,Peace and Human Rights,Unrestricted,250
2010,Poverty Alleviation,Designated,40967.75
2010,Arts,Designated,2332
2010,Poverty Alleviation,Designated,562
2011,Poverty Alleviation,Unrestricted,300
2011,Education,Designated,400
2011,Poverty Alleviation,Designated,7042.36
2011,Poverty Alleviation,Unrestricted,100
2011,Education,Designated,1e3
2011,Education,Designated,1e3
2011,Poverty Alleviation,Donor Advised,15e3
2011,Education,Designated,4200
2011,Education,Designated,5e3
2011,Poverty Alleviation,Donor Advised,4300
2011,Poverty Alleviation,Donor Advised,-184.92
2011,Education,Donor Advised,800
2011,Education,Designated,1e3
2011,Education,Designated,500
2011,Education,Designated,250
2011,Education,Designated,1e3
2011,Education,Designated,5e3
2011,Education,Designated,-2500
2011,Education,Designated,5e3
2011,Education,Designated,5e3
2011,Education,Designated,5e3
2011,Education,Designated,1e3
2011,Poverty Alleviation,Designated,1500
2011,Poverty Alleviation,Designated,8e3
2011,Education,Designated,1e3
2011,Arts,Donor Advised,500
2011,Education,Donor Advised,750
2011,Education,Donor Advised,2e4
2011,Poverty Alleviation,Donor Advised,730
2011,Education,Donor Advised,730
2011,Arts,Donor Advised,730
2011,Arts,Donor Advised,730
2011,Poverty Alleviation,Donor Advised,730
2011,Education,Donor Advised,500
2011,Education,Donor Advised,-500
2011,Arts,Field of Interst,300
2011,Education,Donor Advised,4200
2011,Education,Donor Advised,1e3
2011,Education,Donor Advised,1300
2011,Poverty Alleviation,Designated,4301.65
2011,Poverty Alleviation,Donor Advised,500
2011,Poverty Alleviation,Unrestricted,5e3
2011,Arts,Field of Interst,4e3
2011,Arts,Field of Interst,2550
2011,Arts,Field of Interst,5e3
2011,Environment and Climate Change,Field of Interst,3150
2011,Education,Field of Interst,214
2011,Education,Unrestricted,1846
2011,Education,Unrestricted,1320
2011,Education,Unrestricted,802
2011,Education,Unrestricted,818
2011,Poverty Alleviation,Unrestricted,2500
2011,Poverty Alleviation,Field of Interst,2500
2011,Poverty Alleviation,Field of Interst,6e3
2011,Peace and Human Rights,Field of Interst,3900
2011,Peace and Human Rights,Field of Interst,100
2011,Arts,Field of Interst,2500
2011,Arts,Field of Interst,2500
2011,Poverty Alleviation,Field of Interst,2379
2011,Poverty Alleviation,Unrestricted,621
2011,Poverty Alleviation,Field of Interst,1890
2011,Poverty Alleviation,Field of Interst,3160
2011,Poverty Alleviation,Field of Interst,1070
2011,Poverty Alleviation,Field of Interst,566
2011,Poverty Alleviation,Unrestricted,166
2011,Poverty Alleviation,Unrestricted,38
2011,Peace and Human Rights,Field of Interst,3e3
2011,Peace and Human Rights,Field of Interst,1500
2011,Environment and Climate Change,Field of Interst,1500
2011,Poverty Alleviation,Unrestricted,1749
2011,Poverty Alleviation,Unrestricted,1251
2011,Poverty Alleviation,Field of Interst,1250
2011,Poverty Alleviation,Field of Interst,1250
2011,Poverty Alleviation,Field of Interst,500
2011,Environment and Climate Change,Field of Interst,1116
2011,Environment and Climate Change,Unrestricted,1384
2011,Peace and Human Rights,Field of Interst,2e3
2011,Peace and Human Rights,Field of Interst,50
2011,Poverty Alleviation,Field of Interst,5e3
2011,Poverty Alleviation,Unrestricted,1468
2011,Poverty Alleviation,Unrestricted,203
2011,Poverty Alleviation,Unrestricted,328
2011,Poverty Alleviation,Field of Interst,1
2011,Arts,Field of Interst,1995
2011,Peace and Human Rights,Field of Interst,1010
2011,Poverty Alleviation,Field of Interst,3e3
2011,Education,Unrestricted,387
2011,Education,Unrestricted,613
2011,Education,Unrestricted,463
2011,Education,Unrestricted,2037
2011,Arts,Field of Interst,1505
2011,Arts,Unrestricted,495
2011,Environment and Climate Change,Unrestricted,1931
2011,Environment and Climate Change,Unrestricted,1e3
2011,Environment and Climate Change,Unrestricted,1069
2011,Poverty Alleviation,Field of Interst,878
2011,Poverty Alleviation,Unrestricted,1622
2011,Arts,Field of Interst,2e3
2011,Arts,Field of Interst,1850
2011,Arts,Field of Interst,818
2011,Arts,Field of Interst,1466
2011,Arts,Field of Interst,470
2011,Arts,Unrestricted,308
2011,Arts,Unrestricted,88
2011,Education,Unrestricted,1e3
2011,Poverty Alleviation,Unrestricted,450
2011,Poverty Alleviation,Field of Interst,776
2011,Poverty Alleviation,Unrestricted,591
2011,Poverty Alleviation,Unrestricted,399
2011,Poverty Alleviation,Unrestricted,195
2011,Poverty Alleviation,Unrestricted,100
2011,Poverty Alleviation,Unrestricted,165
2011,Poverty Alleviation,Unrestricted,261
2011,Poverty Alleviation,Unrestricted,860
2011,Poverty Alleviation,Unrestricted,9
2011,Poverty Alleviation,Unrestricted,216
2011,Poverty Alleviation,Unrestricted,431
2011,Poverty Alleviation,Unrestricted,36
2011,Poverty Alleviation,Unrestricted,511
2011,Arts,Unrestricted,3e3
2011,Arts,Unrestricted,410
2011,Arts,Unrestricted,70
2011,Poverty Alleviation,Unrestricted,2500
2011,Poverty Alleviation,Unrestricted,500
2011,Education,Field of Interst,1875
2011,Education,Field of Interst,3500
2011,Poverty Alleviation,Field of Interst,4250
2011,Poverty Alleviation,Field of Interst,835
2011,Poverty Alleviation,Unrestricted,100
2011,Poverty Alleviation,Field of Interst,815
2011,Poverty Alleviation,Field of Interst,4180
2011,Poverty Alleviation,Field of Interst,164
2011,Poverty Alleviation,Field of Interst,656
2011,Poverty Alleviation,Field of Interst,2400
2011,Education,Field of Interst,1600
2011,Education,Unrestricted,236
2011,Education,Unrestricted,164
2011,Poverty Alleviation,Field of Interst,2200
2011,Poverty Alleviation,Field of Interst,2400
2011,Arts,Unrestricted,325
2011,Arts,Field of Interst,175
2011,Peace and Human Rights,Field of Interst,881
2011,Peace and Human Rights,Field of Interst,782
2011,Peace and Human Rights,Field of Interst,1337
2011,Education,Donor Advised,3e4
2011,Education,Designated,595
2011,Poverty Alleviation,Designated,200
2011,Poverty Alleviation,Unrestricted,300
2011,Poverty Alleviation,Donor Advised,1e3
2011,Poverty Alleviation,Unrestricted,500
2011,Poverty Alleviation,Donor Advised,42e3
2011,Poverty Alleviation,Field of Interst,300
2011,Arts,Donor Advised,2400
2011,Poverty Alleviation,Donor Advised,250
2011,Education,Donor Advised,250
2011,Education,Donor Advised,500
2011,Poverty Alleviation,Donor Advised,500
2011,Education,Donor Advised,250
2011,Poverty Alleviation,Donor Advised,750
2011,Poverty Alleviation,Donor Advised,4321.87
2011,Education,Donor Advised,4321.87
2011,Education,Donor Advised,4321.88
2011,Poverty Alleviation,Donor Advised,4321.88
2011,Arts,Designated,2739
2011,Poverty Alleviation,Designated,658
2011,Poverty Alleviation,Designated,1068
2011,Environment and Climate Change,Field of Interst,20304
2011,Poverty Alleviation,Designated,43006
2011,Poverty Alleviation,Agency/Org.,1185
2011,Arts,Agency/Org.,754
2012,Environment and Climate Change,Fiscal Sponsor,21344.63
2012,Education,Donor Advised,1500
2012,Education,Donor Advised,25e3
2012,Poverty Alleviation,Donor Advised,500
2012,Poverty Alleviation,Designated,15e3
2012,Education,Designated,610
2012,Poverty Alleviation,Designated,9364.39
2012,Environment and Climate Change,Project,1025
2012,Poverty Alleviation,Designated,6e3
2012,Education,Designated,1e3
2012,Education,Designated,5e3
2012,Education,Designated,1e3
2012,Education,Unrestricted,2500
2012,Education,Designated,1e3
2012,Education,Designated,500
2012,Education,Designated,500
2012,Arts,Field of Interst,500
2012,Education,Designated,1e3
2012,Education,Designated,500
2012,Education,Designated,1e3
2012,Education,Designated,1e3
2012,Education,Designated,1e3
2012,Education,Designated,1e3
2012,Education,Designated,1e3
2012,Education,Designated,1e3
2012,Education,Designated,3e3
2012,Education,Designated,3e3
2012,Education,Unrestricted,800
2012,Education,Donor Advised,2e3
2012,Education,Designated,4300
2012,Arts,Designated,6132.63
2012,Poverty Alleviation,Donor Advised,1e3
2012,Arts,Donor Advised,1e3
2012,Education,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,1e3
2012,Education,Donor Advised,300
2012,Education,Donor Advised,3e3
2012,Education,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,1e3
2012,Arts,Donor Advised,1e3
2012,Environment and Climate Change,Donor Advised,500
2012,Education,Donor Advised,1e3
2012,Education,Designated,2500
2012,Poverty Alleviation,Unrestricted,250
2012,Poverty Alleviation,Designated,15e3
2012,Poverty Alleviation,Donor Advised,100
2012,Poverty Alleviation,Donor Advised,200
2012,Arts,Donor Advised,500
2012,Poverty Alleviation,Donor Advised,2e3
2012,Poverty Alleviation,Donor Advised,100
2012,Poverty Alleviation,Donor Advised,2e3
2012,Poverty Alleviation,Designated,5067.03
2012,Education,Donor Advised,610
2012,Education,Donor Advised,-610
2012,Education,Donor Advised,4500
2012,Poverty Alleviation,Unrestricted,250
2012,Education,Field of Interst,1500
2012,Education,Unrestricted,454
2012,Education,Unrestricted,131
2012,Education,Unrestricted,116
2012,Education,Unrestricted,299
2012,Arts,Field of Interst,6500
2012,Education,Unrestricted,674
2012,Education,Unrestricted,424
2012,Education,Field of Interst,352
2012,Education,Unrestricted,549
2012,Education,Unrestricted,1
2012,Poverty Alleviation,Field of Interst,1324
2012,Poverty Alleviation,Field of Interst,1176
2012,Education,Unrestricted,680
2012,Education,Unrestricted,442
2012,Education,Unrestricted,978
2012,Poverty Alleviation,Field of Interst,3e3
2012,Poverty Alleviation,Field of Interst,5e3
2012,Poverty Alleviation,Unrestricted,1e3
2012,Poverty Alleviation,Unrestricted,614
2012,Poverty Alleviation,Unrestricted,156
2012,Poverty Alleviation,Unrestricted,313
2012,Poverty Alleviation,Unrestricted,256
2012,Poverty Alleviation,Unrestricted,435
2012,Poverty Alleviation,Unrestricted,204
2012,Poverty Alleviation,Unrestricted,408
2012,Poverty Alleviation,Unrestricted,760
2012,Poverty Alleviation,Unrestricted,204
2012,Poverty Alleviation,Unrestricted,1500
2012,Poverty Alleviation,Unrestricted,455
2012,Poverty Alleviation,Field of Interst,686
2012,Poverty Alleviation,Unrestricted,204
2012,Poverty Alleviation,Unrestricted,396
2012,Poverty Alleviation,Unrestricted,273
2012,Poverty Alleviation,Unrestricted,265
2012,Poverty Alleviation,Unrestricted,550
2012,Poverty Alleviation,Field of Interst,671
2012,Poverty Alleviation,Unrestricted,1500
2012,Poverty Alleviation,Field of Interst,999
2012,Poverty Alleviation,Unrestricted,1674
2012,Poverty Alleviation,Unrestricted,326
2012,Poverty Alleviation,Field of Interst,500
2012,Poverty Alleviation,Unrestricted,1
2012,Education,Field of Interst,2500
2012,Poverty Alleviation,Field of Interst,3e3
2012,Education,Field of Interst,3500
2012,Peace and Human Rights,Field of Interst,1072
2012,Peace and Human Rights,Field of Interst,923
2012,Education,Field of Interst,2400
2012,Arts,Field of Interst,4655
2012,Arts,Field of Interst,3e3
2012,Arts,Field of Interst,1755
2012,Arts,Field of Interst,501
2012,Arts,Field of Interst,866
2012,Arts,Field of Interst,1877
2012,Arts,Unrestricted,1
2012,Poverty Alleviation,Field of Interst,1500
2012,Poverty Alleviation,Unrestricted,877
2012,Poverty Alleviation,Field of Interst,623
2012,Poverty Alleviation,Unrestricted,1e3
2012,Poverty Alleviation,Field of Interst,2700
2012,Poverty Alleviation,Unrestricted,1300
2012,Education,Field of Interst,5e3
2012,Arts,Field of Interst,5e3
2012,Peace and Human Rights,Field of Interst,1500
2012,Peace and Human Rights,Field of Interst,2e3
2012,Environment and Climate Change,Unrestricted,897
2012,Environment and Climate Change,Unrestricted,1863
2012,Environment and Climate Change,Field of Interst,40
2012,Peace and Human Rights,Field of Interst,2500
2012,Poverty Alleviation,Field of Interst,500
2012,Poverty Alleviation,Unrestricted,2726
2012,Poverty Alleviation,Field of Interst,1088
2012,Poverty Alleviation,Unrestricted,372
2012,Poverty Alleviation,Unrestricted,314
2012,Education,Field of Interst,2500
2012,Poverty Alleviation,Field of Interst,232
2012,Poverty Alleviation,Unrestricted,614
2012,Poverty Alleviation,Field of Interst,737
2012,Poverty Alleviation,Unrestricted,434
2012,Poverty Alleviation,Field of Interst,1e3
2012,Poverty Alleviation,Unrestricted,916
2012,Poverty Alleviation,Unrestricted,1009
2012,Poverty Alleviation,Unrestricted,58
2012,Poverty Alleviation,Field of Interst,350
2012,Poverty Alleviation,Unrestricted,135
2012,Poverty Alleviation,Unrestricted,240
2012,Poverty Alleviation,Unrestricted,177
2012,Poverty Alleviation,Field of Interst,500
2012,Poverty Alleviation,Field of Interst,2500
2012,Poverty Alleviation,Unrestricted,1098
2012,Arts,Field of Interst,5e3
2012,Education,Unrestricted,240
2012,Education,Field of Interst,1738
2012,Education,Unrestricted,522
2012,Environment and Climate Change,Field of Interst,1276
2012,Environment and Climate Change,Field of Interst,224
2012,Arts,Field of Interst,802
2012,Arts,Unrestricted,500
2012,Arts,Unrestricted,71
2012,Arts,Unrestricted,325
2012,Arts,Field of Interst,1052
2012,Arts,Unrestricted,750
2012,Environment and Climate Change,Project,250
2012,Education,Designated,610
2012,Education,Designated,700
2012,Poverty Alleviation,Donor Advised,65e3
2012,Arts,Donor Advised,300
2012,Education,Donor Advised,300
2012,Arts,Donor Advised,300
2012,Poverty Alleviation,Donor Advised,300
2012,Poverty Alleviation,Donor Advised,500
2012,Poverty Alleviation,Donor Advised,1e3
2012,Education,Donor Advised,500
2012,Peace and Human Rights,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,100
2012,Education,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,200
2012,Arts,Donor Advised,50
2012,Education,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,200
2012,Education,Donor Advised,200
2012,Poverty Alleviation,Donor Advised,500
2012,Poverty Alleviation,Donor Advised,500
2012,Poverty Alleviation,Donor Advised,200
2012,Poverty Alleviation,Donor Advised,100
2012,Education,Designated,2e3
2012,Education,Designated,5e3
2012,Arts,Donor Advised,2e3
2012,Arts,Field of Interst,346
2012,Arts,Unrestricted,154
2012,Arts,Field of Interst,-1
2012,Arts,Unrestricted,1
2012,Education,Donor Advised,1500
2012,Poverty Alleviation,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,1e3
2012,Education,Donor Advised,200
2012,Environment and Climate Change,Donor Advised,1e3
2012,Education,Donor Advised,500
2012,Education,Designated,4e3
2012,Education,Designated,4e3
2012,Arts,Agency/Org.,795
2012,Poverty Alleviation,Designated,3100
2012,Education,Donor Advised,1500
2012,Poverty Alleviation,Donor Advised,38
2012,Education,Donor Advised,4486.53
2012,Education,Donor Advised,4486.52
2012,Poverty Alleviation,Donor Advised,4486.52
2012,Poverty Alleviation,Donor Advised,4486.53
2012,Poverty Alleviation,Donor Advised,1e3
2012,Education,Donor Advised,400
2012,Education,Donor Advised,207
2012,Poverty Alleviation,Donor Advised,25e3
2012,Poverty Alleviation,Donor Advised,839
2012,Poverty Alleviation,Designated,697
2012,Environment and Climate Change,Field of Interst,33432
2012,Arts,Designated,2879
2012,Education,Designated,1500
2012,Education,Designated,368
2012,Poverty Alleviation,Designated,1165
2012,Poverty Alleviation,Designated,2e4
2012,Education,Designated,1383
2012,Poverty Alleviation,Designated,37401.33
2012,Poverty Alleviation,Donor Advised,1e3
2012,Poverty Alleviation,Unrestricted,250
2012,Poverty Alleviation,Donor Advised,1e3
2012,Poverty Alleviation,Donor Advised,1e3
2012,Arts,Unrestricted,2e3
2013,Poverty Alleviation,Unrestricted,1e3
2013,Poverty Alleviation,Unrestricted,500
2013,Education,Designated,2e3
2013,Education,Designated,1e3
2013,Peace and Human Rights,Field of Interst,2500
2013,Poverty Alleviation,Designated,3e4
2013,Poverty Alleviation,Designated,9758.17
2013,Education,Designated,500
2013,Education,Designated,415
2013,Education,Designated,1500
